GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2
0.0GnP,2607.244902056385,0.241638228867494,597.8267899779696,0.03679690562598997,0.06080938042134492,0.05807130509848647,0.687507686500632,1.43575648010919
0.5GnP,2435.003962483059,0.23920863056203934,612.0587132140734,0.03992711957918166,0.06511758680642732,0.063400099475645,1.03273757735402,2.05988641443654
1.0GnP,2806.9331781341007,0.22359576106446302,678.1837185902344,0.04373372550745688,0.061163338460906366,0.06826531176894714,0.458710854715148,0.933214277393875
1.5GnP,2539.839656364146,0.18838125024953664,374.17612013734833,0.011996449013222102,0.06464779692052139,0.11208342077407138,0.174463778122388,0.454538201664844
