GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,15.73414085045112,0.001448054152236046,3.607751197544775,0.0010121177215111443,0.005369682836462523,0.005203689169526087
0.5GnP,15.939704678039158,0.0015875669198701938,4.006578750822409,0.0011333768090837552,0.005797746990627365,0.005734300150846473
1.0GnP,18.35443509502903,0.0014830220513676494,4.434618943670201,0.00114339742951026,0.005518479886450014,0.006185884517432415
1.5GnP,28.72120931147721,0.0016779977602662032,4.231287057390689,0.001344725202608968,0.006140813664067427,0.010482611962997986
