GnP,log_mse_Ep_opt,log_mse_Epp_opt,log_mse_Ep_MCMC_mean,log_mse_Epp_MCMC_mean,log_mse_Ep_MCMC_map,log_mse_Epp_MCMC_map,log_mse_opt,log_mse_MCMC_mean,log_mse_MCMC_map,relative_error_opt,relative_error_MCMC_mean,relative_error_MCMC_map
0.0GnP,0.003974824370446836,0.003126692429277796,0.0035038559742642528,0.0031739734375071083,0.0035058726191776863,0.0031721318802998234,0.0071015167997246316,0.0066778294117713615,0.006678004499477509,1.0167491583425798,0.9859523409571685,0.9859652663399223
0.5GnP,0.005142708459197137,0.0035267020758664993,0.004024414029896318,0.003785388329062958,0.0040385594666179385,0.0037719634807549633,0.008669410535063635,0.007809802358959273,0.0078105229473729,1.1145970654398782,1.05789638333115,1.0579451867616612
1.0GnP,0.00437730569639711,0.004042786156335423,0.003551761808709465,0.004401748592047314,0.003559007017455765,0.004392696337643462,0.008420091852732535,0.00795351040075678,0.00795170335509923,1.0767437566669975,1.0464858835523603,1.0463669954702135
1.5GnP,0.004709983231798756,0.011358884537737876,0.003982565201464876,0.011955596306239108,0.003910698005759695,0.012170144626247065,0.01606886776953663,0.015938161507703986,0.01608084263200676,1.585833972617016,1.57937111338129,1.5864247611948938
