GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,16207.348472519685,15144.267550355102,16207.348472519685,14497.672730270064,15833.932802923286,15084.553779103957
0.5GnP,15958.694601131252,15997.416680320803,15958.694601131252,16037.130783703044,14486.990954870058,13793.450668790212
1.0GnP,16264.706720943215,16178.872993145313,16264.706720943215,15650.863818084363,16140.680239511243,15955.481357511706
1.5GnP,10369.093550542999,11646.320285304197,10369.093550542999,16305.761338710136,12005.396738913776,12887.76071506443
