GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,14653.29388446944,14792.973723478324,14653.29388446944,16351.855406103576,17654.149812592455,16376.24964024537
0.5GnP,13542.287445619208,13909.110552601382,13542.287445619208,16943.130177924126,16693.681713865106,16934.543499087125
1.0GnP,14788.962540097096,15933.25295997478,14788.962540097096,16088.507787659133,16478.950319837048,16986.796283933916
1.5GnP,12894.005652611377,12722.72010318808,12894.005652611377,7897.192197351149,14489.525066068192,13609.552281086586
