GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,2342.5482115865902,2419.4931607465746,682.0799685484819,704.4840361546127,0.25143257376183026,0.25956048389938385,0.04378668656978859,0.04771802572584098
0.5GnP,2317.439941382434,2377.514525360828,618.7718446367185,634.8121572594134,0.24255767727458966,0.24918207890101526,0.039579502771783,0.0441057184298951
1.0GnP,2425.211575253307,2478.3509759567846,733.2615472695693,749.328219381152,0.24273405533605524,0.2486589516894111,0.04844407922218558,0.052841470540989574
1.5GnP,1526.7771091334248,1584.5047726033974,594.4211308749035,616.8962798650946,0.25642569502036866,0.26725809876852386,0.04316167470671947,0.048683817753362404
