GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2,beta_1
0.0GnP,2380.806098035108,0.2554073770491472,693.2195207064555,0.04582208640367045,0.05439194049926798,0.06743015383164011,0.878895306173122,1.62878501959556,0.00297447980753164
0.5GnP,2348.022993978497,0.24580212011792602,626.9377226521804,0.04179178250903601,0.06752970574324445,0.06300341804297034,1.38677839969928,2.68377461255412,0.00257457565604268
1.0GnP,2451.032528241579,0.24575711454377974,741.0684999220106,0.05065843200951193,0.07016098485751313,0.05221009094709907,1.34790231466515,2.45134128653598,0.00969051822064183
1.5GnP,1556.3819647501282,0.2618112854440218,605.9472086827226,0.04589392249940197,0.07256597438629075,0.07822930544250363,6.08599091842364,9.75375853935847,0.028640352793
