GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.0001257625627389,1.0000180656171798,1.0001257625627389,1.0000574440571064,0.9999966303879732,1.000082837002361
0.5GnP,1.0003040435826132,0.999982015192083,1.0003040435826132,1.0000106893999132,1.0001491959376654,1.0000601095739912
1.0GnP,1.000076696310419,1.000176862706945,1.000076696310419,1.0001495323168377,1.000123965979199,1.0001380051057331
1.5GnP,1.000138671992297,1.0003996412147342,1.000138914807577,1.0002037483765411,1.0002757118033718,1.0005751871836577
