GnP,sigma_Ep,sigma_Epp,E_c1,alpha_1,alpha_2,E_c2,tau_c1,tau_c2,beta_1
0.0GnP,0.0527764593719363,0.06491945008836553,2381.79590959475,0.2554968637643846,0.04586909554777307,693.5077242252262,0.878895306173122,1.62878501959556,0.00297447980753164
0.5GnP,0.06590177984584938,0.061135512310365334,2348.5287810341247,0.24583434524623843,0.0418111279755103,627.072771152819,1.38677839969928,2.68377461255412,0.00257457565604268
1.0GnP,0.06850985551223264,0.050579163232772416,2451.47586805522,0.24575665102192754,0.05067214029906303,741.2025435003252,1.34790231466515,2.45134128653598,0.00969051822064183
1.5GnP,0.07109256336714537,0.07514045504150633,1557.9816729676836,0.2619887753263688,0.046008953624901885,606.5700241297586,6.08599091842364,9.75375853935847,0.028640352793
