GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,10662.310230472465,11992.439529195983,10662.310230472465,14120.767885587142,13691.895020600008,14960.967443362932
0.5GnP,14158.90379247334,15034.849524162915,14158.90379247334,15647.969504486382,17315.03900506725,17266.49560833949
1.0GnP,14997.325781974816,15699.42675103616,14997.325781974816,18809.188584240845,18753.84869915625,18923.021885092574
1.5GnP,10186.20055415407,12976.291273859882,10186.20055415407,12551.114828326827,12571.744106356677,12142.785149562242
