GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,19.43363386045829,0.00206503000362149,5.658492878294442,0.0010062648667385453,0.005466598069176649,0.00680169879242076
0.5GnP,15.452002805398992,0.0016957116683551606,4.125787300241686,0.0011520131859106514,0.00598662121501731,0.0056565121625799806
1.0GnP,13.49342032652164,0.0015080317065483343,4.0797291121087005,0.0011311143757984157,0.006105618651928989,0.004596967268040983
1.5GnP,14.798043447933626,0.002785677081200215,5.761331937999313,0.001413474237606519,0.007429195583033258,0.00823273809208435
