GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,2707.3473446969774,2802.549012366011,336.1189174399855,347.93826582839057,0.3086704636780467,0.31668387774076945,0.05406028298497258,0.06008960827436171
0.5GnP,2248.9885361763622,2318.8228958848135,284.94383247681446,293.7917522299858,0.31543128296339595,0.3227048132791743,0.06325055569025724,0.06965880746478473
1.0GnP,2717.3521341670103,2817.7375425752757,338.16481734939697,350.6574247196714,0.3043516462404835,0.31230928839546734,0.05792845266135284,0.06416619098802827
1.5GnP,1718.729553027182,1761.7447724297547,330.154726489239,338.41761925891166,0.33846393637642935,0.3467503517476673,0.07841906438120907,0.08408927124045375
