GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2,beta_1
0.0GnP,2753.5858640751453,0.31262340565058405,341.85945941656627,0.05710414049095746,0.06993516801995336,0.0705502872794023,1.13765400286308,3.22875959806896,0.0
0.5GnP,2283.8274080132896,0.31915023963372685,289.35787083259027,0.066338613593418,0.08414570951136528,0.058364197965889,0.9827,2.7608,0.0089
1.0GnP,2767.611305094568,0.30830919610175034,344.41939258208384,0.06114089557711679,0.07470995590156461,0.07268283606551251,0.7139,2.0237,0.0015
1.5GnP,1740.6192378079872,0.34253848928912994,334.3595665578895,0.08130651943432662,0.0590298460316975,0.060988047836438956,2.83207488151434,6.46174395085202,0.0331987640421817
