GnP,sigma_Ep,sigma_Epp,E_c1,alpha_1,alpha_2,E_c2,tau_c1,tau_c2,beta_1
0.0GnP,0.06789151311946272,0.06798125759091687,2754.3590686788734,0.312614993974652,0.05715453201920262,341.9554532663669,1.13765400286308,3.22875959806896,0.0
0.5GnP,0.0819283029423435,0.056248477775378586,2284.562211155719,0.3191415167759083,0.06636157094177364,289.45096940563855,0.9827,2.7608,0.0089
1.0GnP,0.07283528135357482,0.0699842717814508,2769.0282197138877,0.3082820038670939,0.06120510430571083,344.5957225716414,0.7139,2.0237,0.0015
1.5GnP,0.05736823149137454,0.059111672314155574,1740.686359610823,0.3425087091607217,0.08130809358728103,334.3724601399063,2.83207488151434,6.46174395085202,0.0331987640421817
