GnP,log_mse_Ep_opt,log_mse_Epp_opt,log_mse_Ep_MCMC_mean,log_mse_Epp_MCMC_mean,log_mse_Ep_MCMC_map,log_mse_Epp_MCMC_map,log_mse_opt,log_mse_MCMC_mean,log_mse_MCMC_map,relative_error_opt,relative_error_MCMC_mean,relative_error_MCMC_map
0.0GnP,0.0074575084708338926,0.014874581308843891,0.004112346692707397,0.018461627507732392,0.00408084270734678,0.018600786175538758,0.022332089779677787,0.02257397420043979,0.022681628882885538,2.285041056250494,2.297382651638871,2.302854214338841
0.5GnP,0.005184898509640055,0.010562500411577318,0.0039790557236659045,0.011255697224400675,0.003966035182273197,0.011292323595319334,0.015747398921217376,0.015234752948066583,0.015258358777592535,1.909776809431532,1.878433862420716,1.879888589855589
1.0GnP,0.006892653175084779,0.009532048374142383,0.003426777263307774,0.014746278169877674,0.0032950926412511797,0.015320126610417565,0.01642470154922716,0.01817305543318545,0.01861521925166874,1.802356637202302,1.89585868501913,1.9187838950658385
1.5GnP,0.008307540929691982,0.012286443540390874,0.004967807958573682,0.015704635047532254,0.004920208345907358,0.015854054067465703,0.020593984470082857,0.020672443006105937,0.020774262413373063,2.1587654571616492,2.162873757942617,2.1681936908704027
