GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,11713.646182060284,14499.820971904894,11713.646182060284,13602.576312094245,17269.69509237435,18953.119021239054
0.5GnP,13395.078241710722,14068.410618272343,13395.078241710722,15561.114608540429,18478.902672674358,18911.059669389568
1.0GnP,9575.573403778259,16372.751551068683,9575.573403778259,10702.365560185934,11367.00271782796,11966.905593423578
1.5GnP,11681.601463724362,14440.812831469651,11681.601463724362,12791.269104104005,16386.665969651138,16813.923833865905
