GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,1982.191464118775,2093.7120324554794,71.67259699239207,75.70498684748237,0.4717237835156358,0.48549263573240375,0.0921850500602915,0.09796002746709971
0.5GnP,2370.8364128767817,2478.398708126683,69.49346863283584,72.64631247749182,0.4776018511322453,0.4905270660493353,0.07741661486709163,0.08233748537227749
1.0GnP,2001.3308948932304,2105.642114163608,138.7839926599331,146.01754285720872,0.45309541601809766,0.468014273363355,0.10020835326479442,0.10606144071670552
1.5GnP,2023.13566256464,2140.938928599281,79.65073933143402,84.28864741092595,0.46109011793715193,0.4752981523915659,0.08686355634061399,0.0931224545851634
