GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.000138354755527,1.0001096666980593,1.000138354755527,1.0000296049637465,1.0000600235851327,1.0004095768206376
0.5GnP,1.0002944044022546,1.0003404362342865,1.0002947263459152,1.0002712188377554,1.000026111216636,1.0003901202404724
1.0GnP,1.000160804805998,1.0005430966939064,1.000160804805998,1.0003551294756317,1.0006482905105976,1.000305476119633
1.5GnP,1.0000708636344202,1.0006166513174255,1.0000708636344202,0.9999927432070875,1.0001875236112707,1.0004069640158817
