GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,13134.761073717846,14687.337319474016,13134.761073717846,14947.06541504871,15180.649716569666,15215.6161153975
0.5GnP,14203.891789004965,14908.865376724463,14203.891789004965,15047.341567314286,14579.215538694796,15319.533227507158
1.0GnP,12968.832099995261,13817.250779535669,12968.832099995261,13159.321293615647,13552.62782382809,13842.00805100976
1.5GnP,13113.450006752133,14771.847694562031,13113.450006752133,15078.354258931724,15344.280188499142,16095.467767349604
