GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2,beta_1
0.0GnP,2038.1055129445515,0.47853943151848927,73.69435178260578,0.09506896076487971,0.06633149220668351,0.13891676337599979,0.7462450102417,3.92443979132924,0.0232490880204638
0.5GnP,2423.9721393970967,0.48424909467053284,71.05097210467676,0.07988938924891763,0.0650428934314093,0.10849889800916986,0.8208,4.7942,0.0176
1.0GnP,2052.7842753842715,0.4604859443344203,142.35207108145687,0.10303519596458209,0.06082026959414972,0.12447668588170199,2.0388,7.7422,0.0248
1.5GnP,2080.8935232053086,0.4683579776648525,81.9246631158625,0.09002003230044879,0.0729551925576305,0.12831949576738022,0.6926,3.4906,0.0246
