GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,28.439251253929147,0.003510084309340559,1.028313879252033,0.0014757843472207018,0.006089127763032413,0.012631096599284153
0.5GnP,27.468313632847646,0.0032849292136902,0.8051455517864967,0.0012554754185916982,0.005956883299542308,0.009673636123811499
1.0GnP,26.70552616849918,0.003853524006482494,1.851917420155736,0.0015074723506410003,0.0071236308053167245,0.013922531991903827
1.5GnP,30.252261338190305,0.0036264375842657956,1.1910298585612655,0.001600790454010596,0.007240719951192732,0.01247761419127221
