GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,13249.912438439098,13984.680970282727,13249.912438439098,14602.174359146064,14864.896225167411,13827.702511810847
0.5GnP,13240.911819495584,14080.096379065313,13240.911819495584,15051.74897625318,14234.790703725119,14314.365843703019
1.0GnP,10762.193855358262,13288.135831366382,10762.193855358262,11699.492156710257,11891.612527121952,13781.680804458982
1.5GnP,12439.591520131593,14247.843623231105,12439.591520131593,12875.420281536703,13761.598039111823,13196.619785830133
