GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,26523.006579257468,27455.272703371396,26523.006579257468,39370.20031062083,34735.736956822104,37006.18486480702
0.5GnP,25793.70340204179,27181.11062976893,25793.70340204179,33262.13389139506,33470.780123378565,34012.08369150896
1.0GnP,27281.14930740493,36871.56436699722,27281.14930740493,30038.251681801725,33845.70677847596,33523.50316729234
1.5GnP,17851.65058001803,21059.429528175915,17851.65058001803,22013.52585299996,23601.956413693824,22747.314953523746
