GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,2577.3221410914875,2639.9265353780097,590.9656669124633,605.3205071675187,0.23876621400953435,0.24445397486887155,0.03484712263472559,0.03885871370600939
0.5GnP,2405.0278911026726,2467.060799201597,604.5239757109838,620.1164685746248,0.23605752603421717,0.24225756856758504,0.03778071926128192,0.0422365659194062
1.0GnP,2770.7145664731406,2843.3325860917475,669.4329321697562,686.9781872421777,0.22059301239280163,0.22635349907320831,0.041494522027193434,0.04602673939069903
1.5GnP,2484.1769026870443,2596.2606780084197,365.9757311266207,382.48821925751935,0.18507105328024587,0.19172998935460145,0.009612409909819751,0.014380020555001118
