GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,15.791825294524129,0.0014432316722195527,3.6209779205137735,0.0010187240202241307,0.005405933466586556,0.005186392310612195
0.5GnP,16.08740375558273,0.0015979694993889652,4.0437041554365525,0.0011316814399622752,0.005846618337285778,0.005676419745519951
1.0GnP,18.527535544653727,0.0014723813013681477,4.4764417798996545,0.0011443914015563435,0.0055276728693476685,0.006239187902680897
1.5GnP,28.56303930882193,0.001691228820135296,4.2079850202847755,0.0013344249354535177,0.0061411219379428695,0.010530628752199511
