GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,29085.184158273158,28386.371687222123,29085.184158273158,32956.80330561656,33640.815323659284,32412.467609292413
0.5GnP,28032.74767317771,29780.457516218983,28032.74767317771,31931.42011932517,32571.179878543844,34964.14111868879
1.0GnP,28437.308411258036,34202.064514371516,28437.308411258036,29302.114959751318,32035.461647314303,33450.610230725186
1.5GnP,25829.88107030581,26690.34522292757,25829.88107030581,15983.049261147147,29036.943722929744,28615.268136167393
