GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.0001840595240306,1.000094301423408,1.0001840595240306,1.0000677932376723,0.9999774823722176,1.0000630386768277
0.5GnP,1.0000477401220789,1.0001101602456126,1.0000477401220789,1.0001159229324965,1.0001125409544875,1.0000632323498155
1.0GnP,1.0001123097496492,1.000050804195249,1.0001121942181146,1.0001393879220517,1.0000882607366184,1.0000015230906227
1.5GnP,1.0004218566719458,1.0000695241298232,1.0004217014385586,1.0002009629573017,1.000178860739862,1.0001094786719311
