GnP,sigma_Ep,sigma_Epp,E_c1,alpha_1,alpha_2,E_c2,tau_c1,tau_c2,beta_1
0.0GnP,0.06388146452213678,0.1363847038843176,2035.2776268067507,0.47844211199054953,0.0949623961845571,73.5921003365856,0.7462450102417,3.92443979132924,0.0232490880204638
0.5GnP,0.06297651393213666,0.10626528843782906,2423.4329831444097,0.4843052715966533,0.07985733636689292,71.03516846764352,0.8208,4.7942,0.0176
1.0GnP,0.05740292840134064,0.12377447560119219,2047.3185183596313,0.4607335966420266,0.10277423195116543,141.9730435129902,2.0388,7.7422,0.0248
1.5GnP,0.07014420253878784,0.1259128684770853,2077.6347262076038,0.46827000504436833,0.08990047258388169,81.79636445799137,0.6926,3.4906,0.0246
