GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,28.33406389994343,0.003547809768086564,1.02451048741659,0.001465034598150391,0.00628612809929401,0.012777170347919649
0.5GnP,27.655819358365527,0.0032706045672199536,0.810641680993886,0.0012483654343935192,0.005836112915302293,0.00963959978274711
1.0GnP,26.783404349808396,0.003827779095046012,1.8573179488592935,0.0015170891127054078,0.007178752608386152,0.014039513579941765
1.5GnP,30.381399014021675,0.003611600143464462,1.196114001728646,0.0016120471884010056,0.007227802469850696,0.01252937118143387
