GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.0002115952425354,1.000118509303459,1.0002117147397738,1.0000576136048216,1.0001837662164619,1.0004881824368337
0.5GnP,1.0003317754215986,1.0000402859419286,1.0003315930284276,1.0000115457702918,1.000505054803867,1.0000624207851718
1.0GnP,0.9999402595898419,1.0006394960006113,0.9999402595898419,0.9999570107498472,1.0002497287342542,1.0003891754590062
1.5GnP,1.0001601982097492,1.0002908843249185,1.0001600875986307,1.0001285921693688,1.00019867065771,1.0002071327837754
