GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,0.2610466157595067,2.9193844697026162e-05,0.00943899175545932,1.2557877735100089e-05,4.83103983828359e-05,9.212755008265879e-05
0.5GnP,0.2368630048316259,2.7662302580884245e-05,0.006942879612926429,9.924332427310175e-06,4.2987261705428026e-05,7.090951028576782e-05
1.0GnP,0.27443226509602686,3.057937878664927e-05,0.019030738775842337,1.47843788793002e-05,6.824213385738587e-05,0.00012875659080941043
1.5GnP,0.27741476235501616,3.0192872620387185e-05,0.010921803876968193,1.4191342625492838e-05,5.8148113176210163e-05,9.854485485233139e-05
