GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2,beta_1
0.0GnP,2038.2449030962243,0.47854510205058687,73.69939188813865,0.09507016667802859,0.06637486023527395,0.13901501637782257,0.7462450102417,3.92443979132924,0.0232490880204638
0.5GnP,2424.2923893856055,0.48429343252012486,71.06035920638072,0.07988553193893104,0.06501694587819681,0.10852346468244534,0.8208,4.7942,0.0176
1.0GnP,2052.8543854165355,0.4604439029953872,142.35693292125956,0.10303303914229216,0.06086812487512193,0.12445974555750722,2.0388,7.7422,0.0248
1.5GnP,2080.499441347723,0.46833195325151566,81.90914813488786,0.09000011849668124,0.07291285993088986,0.12846858543410766,0.6926,3.4906,0.0246
