GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,14221.184986845243,14917.487929225232,14221.184986845243,15573.827135609692,14655.252420638342,14928.73717541216
0.5GnP,14196.518104353803,14698.112212058071,14196.518104353803,15268.781926777037,14614.12565465057,15216.070931329394
1.0GnP,11329.218130429796,13642.005600795239,11329.218130429796,14323.720017087342,15066.457468705754,13876.468050851397
1.5GnP,12258.898943880604,14334.013036633023,12258.898943880604,13528.104092592568,15193.12803092921,15001.230491388873
