GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2
0.0GnP,2713.3481037815573,0.4200410622109347,61.96592305435259,0.0792581691402417,0.07922897271852526,0.2216007035184257,0.180330621699157,1.19328937966642
0.5GnP,3167.9965367942027,0.42333966268255396,51.823940266650894,0.05452416122877944,0.08160385540298036,0.2419978067700101,0.216670778446794,1.69405488860137
1.0GnP,2757.0401278501304,0.3858731423652349,113.21880147184274,0.08292276992936358,0.07850662126859208,0.2076714037091908,0.397845397003688,1.96325451424728
1.5GnP,2708.423975826823,0.414763984769942,67.57095682768892,0.07298445260676464,0.072287857357625,0.19877744106989334,0.183658227239163,1.16275623888049
