GnP,log_mse_Ep_opt,log_mse_Epp_opt,log_mse_Ep_MCMC_mean,log_mse_Epp_MCMC_mean,log_mse_Ep_MCMC_map,log_mse_Epp_MCMC_map,log_mse_opt,log_mse_MCMC_mean,log_mse_MCMC_map,relative_error_opt,relative_error_MCMC_mean,relative_error_MCMC_map
0.0GnP,0.00820265260481243,0.045002331244179045,0.005854479563838546,0.047071404312642666,0.0058473906569768775,0.047126022373812713,0.05320498384899147,0.05292588387648121,0.05297341303078959,3.52700018865369,3.517737146533472,3.519316312903604
0.5GnP,0.008005045717693893,0.05027919341295939,0.006233387309609802,0.05625232987815278,0.006215767667311062,0.0564085009256461,0.05828423913065327,0.06248571718776259,0.06262426859295715,3.6741236352947695,3.804245890043143,3.808461187406198
1.0GnP,0.009018794598626027,0.036754330967440345,0.005735552479050498,0.04120616629856845,0.005715904660073517,0.041342915482500756,0.04577312556606636,0.046941718777618956,0.04705882014257427,3.008827370866184,3.0469931678749274,3.050791333148833
1.5GnP,0.007694592046751688,0.0340583133747823,0.004872861065151318,0.037868408886054056,0.00485856574977807,0.03797664540186628,0.04175290542153399,0.042741269951205384,0.042835211151644355,3.0738213348179206,3.1099899154119024,3.113405768868256
