GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,13468.22793540183,13762.07136236048,13468.22793540183,13445.091782598518,13898.121775472873,14174.032631000777
0.5GnP,12252.45755405589,12818.442168665215,12252.45755405589,14586.523895209315,14962.830722379973,14359.826871684605
1.0GnP,14868.475626906411,15016.82575332846,14868.475626906411,15779.960834547392,14462.923578060145,15163.647478606481
1.5GnP,13668.792577171549,14594.604464132162,13668.792577171549,13138.147287865833,14956.152607904254,15338.831536959633
