GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,13806.193181485312,15197.126766644873,13806.193181485312,14735.03396102389,13919.041995553602,13325.365707708845
0.5GnP,11816.051986272056,13404.46346503914,11816.051986272056,14521.626366831671,14682.85060441853,12324.398937700917
1.0GnP,14730.486209685389,15125.629062456197,14730.486209685389,15089.401316608093,14629.413422325671,13303.788159647196
1.5GnP,12326.097122879555,14281.077396723724,12326.097122879555,14292.696110495099,14784.364585810546,13372.44826138797
