GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,12302.559087860895,13975.676498027295,12302.559087860895,14845.851265092017,17492.562399186507,19805.19867338141
0.5GnP,10537.241892447462,11353.847566442924,10537.241892447462,13734.853652968714,19136.25448006447,15990.207877502595
1.0GnP,15042.524471831215,17193.22386264608,15042.524471831215,18609.998838655043,21082.872024644024,22272.931512701503
1.5GnP,12085.994629751034,14214.690007283414,12085.994629751034,13670.316270815163,20767.819543607875,20291.370488496894
