GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.0001102827008757,1.0000653695833992,1.0001102827008757,1.0002107560392115,1.0000537387247577,0.9999909329659642
0.5GnP,1.000367615468263,1.0002963569593115,1.000367615468263,1.0005798482490247,1.0003803256663373,1.000276313576993
1.0GnP,1.0002140961080284,1.0001236553879673,1.0002140961080284,1.0000418167345406,1.0001768768021506,1.0001379231963836
1.5GnP,1.0000848703148457,1.0000306601545748,1.000084875810637,0.9999942433560048,1.0001400409150352,1.0001004338081945
