GnP,sigma_Ep,sigma_Epp,E_c1,alpha_1,alpha_2,E_c2,tau_c1,tau_c2
0.0GnP,0.07646826432256063,0.21708525351909705,2711.1830432834827,0.42000138708610263,0.07921268382668453,61.91647861630031,0.180330621699157,1.19328937966642
0.5GnP,0.07884021839463073,0.23750562314875726,3167.5496733016644,0.42346219410499414,0.054470871394029015,51.816630212275605,0.216670778446794,1.69405488860137
1.0GnP,0.07560364031271417,0.2033296884984772,2754.4211071719174,0.38589101651942836,0.08282039891303702,113.11125048655894,0.397845397003688,1.96325451424728
1.5GnP,0.06970335575798128,0.19487594576465456,2706.5256641361325,0.4147878751303352,0.0729215790873109,67.52359690972851,0.183658227239163,1.16275623888049
