GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,2616.6557766702217,2809.2990343377855,59.757717887689,64.15719662207299,0.41311588237444113,0.4273004867238099,0.07581974439315622,0.08258733106879053
0.5GnP,3057.5199660007493,3285.4015004640223,50.0166999053789,53.74451933091654,0.415831740732186,0.4307078760218758,0.05099281048911936,0.05789719247290423
1.0GnP,2667.0843171865213,2842.665552452711,109.52473515562137,116.73503899450124,0.3786929857555558,0.39323433717185263,0.07944848086819878,0.08624565042961356
1.5GnP,2622.177705541882,2793.772714868643,65.41924680814004,69.7002748416206,0.4081363944536694,0.42129199545206025,0.06995847780159672,0.07615995028642959
