GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,22648.752810794427,25696.762887288154,22648.752810794427,30248.509636466646,38586.83998129046,43270.8108377644
0.5GnP,21947.012737479698,23893.74319013552,21947.012737479698,28166.059778033406,36488.5270150419,32352.670666651462
1.0GnP,28581.359210909573,32889.93095974684,28581.359210909573,35043.58425887167,42690.12384644288,42510.22133956612
1.5GnP,22994.614697464105,26419.452514351018,22994.614697464105,29217.951344171543,36093.463183762855,43141.14654569658
