GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp,tau_c1,tau_c2
0.0GnP,2713.0848155987737,0.420044580481034,61.959910226417705,0.07925425405365158,0.07921575202736333,0.22154112657499336,0.180330621699157,1.19328937966642
0.5GnP,3168.4038919109867,0.4233658035618202,51.83060401990766,0.054524679485338914,0.08154962913504923,0.2417027239679246,0.216670778446794,1.69405488860137
1.0GnP,2756.9741276724963,0.3859004902248435,113.21609115183935,0.08291168095543079,0.07853666971564126,0.20760384629575368,0.397845397003688,1.96325451424728
1.5GnP,2708.5601596508122,0.4147679322260832,67.57435440184034,0.07299109718093245,0.07230221374958794,0.19872774393508935,0.183658227239163,1.16275623888049
