GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,0.3264661273433039,2.2570607559864817e-05,0.0074556504189837065,9.919861878836476e-06,3.575534370425623e-05,9.333919132212094e-05
0.5GnP,0.3958448290331772,2.467609630538747e-05,0.006475461237541955,1.0529155542579756e-05,3.697071873172964e-05,0.00011462930732144365
1.0GnP,0.26552391664282354,2.0443554552832183e-05,0.010903830996414182,9.200734634130435e-06,3.48534814109497e-05,9.074959264750569e-05
1.5GnP,0.290627119264197,2.0548128206271314e-05,0.007250693652112426,9.416103319585857e-06,3.429314824422777e-05,8.504317512609271e-05
