GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,26985.28156490052,30197.0215030376,26985.28156490052,32708.010624226168,36155.77731355623,32595.353973146823
0.5GnP,26380.014033393873,29631.747002048913,26380.014033393873,34540.812195890394,36011.102472285245,33578.31174142137
1.0GnP,28275.54798610453,34816.81878748527,28275.54798610453,31025.61526066324,32549.692023487405,31761.74343579685
1.5GnP,22666.99676534492,29049.28087734443,22666.99676534492,31734.309440785928,30504.2373429816,29013.62529635052
