GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,1.0000552297029803,1.0000297484863223,1.0000552278515646,1.0002293030545963,1.000128406297383,1.0000314447208443
0.5GnP,1.000116800124632,0.9999800830867482,1.000116643162834,1.0001323316586623,1.0000341558024113,1.000024488742963
1.0GnP,1.0001565483936943,1.0002432338332548,1.0001565483936943,1.0002562479759227,1.0001263750456184,1.0001049249104896
1.5GnP,1.0000403828723712,1.0000741070997448,1.0000403828723712,1.0000463390964343,1.0000411623038872,1.0000879568611116
