GnP,E_c1_lower,E_c1_upper,E_c2_lower,E_c2_upper,alpha_1_lower,alpha_1_upper,alpha_2_lower,alpha_2_upper
0.0GnP,2704.412047545095,2800.5032592737484,335.75449619124123,347.68428196913203,0.3085563474412668,0.31653858332641654,0.054200586195689286,0.060137581239586624
0.5GnP,2397.8964641742045,2474.8245293651426,277.5653975967188,286.4701060860499,0.30752628538199805,0.3145115052809991,0.06049558587497349,0.06684521331955452
1.0GnP,2745.401767930172,2849.0866427235787,335.3426946274911,348.00749498986175,0.30245983774526086,0.3104462495426535,0.057401091094667414,0.06359794433404006
1.5GnP,2168.0594724413218,2234.422120504637,296.79686085696966,305.8815865638568,0.30890623377551985,0.3157540760302596,0.06786213795125193,0.07386944302552705
