GnP,sigma_Ep,sigma_Epp,E_c1,alpha_1,alpha_2,E_c2,tau_c1,tau_c2
0.0GnP,0.06789151271698599,0.06798125796516014,2754.359075803076,0.3126149931866036,0.057154531710605735,341.9554518940643,1.1376539792904,3.22875954182197
0.5GnP,0.07960897911860307,0.058492631184411545,2437.164281597983,0.3108737700140878,0.06377283236556255,282.1107929125003,0.68007042254265,1.99887869241876
1.0GnP,0.07208876575181411,0.07103283707782086,2801.0240620788913,0.3064535757123966,0.060568004832231466,342.1367931157634,0.662864749381803,1.89663366002903
1.5GnP,0.060190467973879176,0.06112512135916654,2203.1258714389774,0.31227751982769975,0.07095023722861649,301.5972813603532,0.89259933383683,2.41247322723615
