GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,31834.13056208704,30027.283813889666,31834.13056208704,28281.92028973896,31305.570309167313,28787.909064956217
0.5GnP,31919.36883570998,29617.083674440782,31919.36883570998,30016.61688541056,32903.35821157482,27976.358781094434
1.0GnP,30130.888076828614,29939.582981798398,30130.888076828614,29682.120157237252,30935.159330235587,26329.515265318973
1.5GnP,31174.61002624932,32106.12690323679,31174.61002624932,31236.714522837363,31395.00344692787,28039.24897464437
