GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,24.430739193032714,0.0020132608961897936,3.033091993796679,0.0015374633789129503,0.007028805275449507,0.007172777257288995
0.5GnP,19.98243722078882,0.0017647519384812456,2.313041123754199,0.0016348480123437566,0.008003246431489973,0.005965780121004161
1.0GnP,26.27453120706053,0.0020132993623599156,3.2093561670912014,0.00157254884544757,0.007505328086026681,0.007491375380004503
1.5GnP,16.82511620416901,0.0017545742200916863,2.303277071697694,0.0015144407127205468,0.006125209831124041,0.006354801913005524
