GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,0.14901422376758547,1.1588113424917396e-05,0.018500211782383834,8.512404940377014e-06,3.726444959529276e-05,4.073795789880551e-05
0.5GnP,0.12344319646884225,1.0255159885350047e-05,0.014289007227959663,8.811471139999075e-06,4.246341945303513e-05,3.340067435735831e-05
1.0GnP,0.15648394673883728,1.0791511630128323e-05,0.01911405062032479,8.929404275959708e-06,4.1799296169711454e-05,4.291910203980044e-05
1.5GnP,0.11232743516167183,1.030928216310283e-05,0.015377082855830813,8.506186111413517e-06,3.513552393307633e-05,3.8070286288172774e-05
