GnP,log_mse_Ep_opt,log_mse_Epp_opt,log_mse_Ep_MCMC_mean,log_mse_Epp_MCMC_mean,log_mse_Ep_MCMC_map,log_mse_Epp_MCMC_map,log_mse_opt,log_mse_MCMC_mean,log_mse_MCMC_map,relative_error_opt,relative_error_MCMC_mean,relative_error_MCMC_map
0.0GnP,0.004610902883313629,0.0050884256131063866,0.004595224914374382,0.004635681554071506,0.004609256142846285,0.004621451123217198,0.009699328496420013,0.009230906468445889,0.009230707266063485,1.2286179353939513,1.1985832163359376,1.1985702835908632
0.5GnP,0.0060238203062401375,0.003972536316009316,0.006310522144785056,0.003436276884731543,0.006337627110599797,0.0034214038784503597,0.009996356622249453,0.0097467990295166,0.009759030989050153,1.274625913869246,1.2586149288049755,1.2594044444030428
1.0GnP,0.00500469138732725,0.005285349389128161,0.0051642743666917715,0.005077793947981237,0.005196801430663456,0.005045669133991511,0.01029004077645541,0.01024206831467301,0.010242470564654969,1.2581693672050307,1.2552331303752142,1.2552577793294617
1.5GnP,0.003614139805666101,0.003745990666971743,0.003604669715095421,0.0037553364635596292,0.003622895836862134,0.0037362846300337317,0.007360130472637844,0.00736000617865505,0.007359180466895865,1.064024742006938,1.0640157576260345,1.0639560705181323
