GnP,E_c1,alpha_1,E_c2,alpha_2,sigma_Ep,sigma_Epp
0.0GnP,14414.455787599603,14872.336717213302,14414.455787599603,14432.434340176573,14012.116048581618,14568.047887222843
0.5GnP,16526.45862977695,16200.737391196062,16526.45862977695,14122.365704589056,15570.368011857394,14812.33273571031
1.0GnP,16507.316728396658,15328.795914524078,16507.316728396658,15769.218523877465,16223.91847810125,16303.982020645726
1.5GnP,15963.73479673649,15739.389975408269,15963.73479673649,14847.12222232245,14325.432823806832,11885.756926480954
